title,content
To Mary,"                        I.How, my dear Mary, -- are you critic-bitten(For vipers kill, though dead) by some review,That you condemn these verses I have written,Because they tell no story, false or true?What, though no mice are caught by a young kitten,May it not leap and play as grown cats do,Till its claws come? Prithee, for this one time,Content thee with a visionary rhyme.II.What hand would crush the silken-wingèd fly,The youngest of inconstant April's minions,Because it cannot climb the purest sky,Where the swan sings, amid the sun's dominions?Not thine. Thou knowest 'tis its doom to die,When Day shall hide within her twilight pinionsThe lucent eyes, and the eternal smile,Serene as thine, which lent it life awhile.III.To thy fair feet a wingèd Vision came,Whose date should have been longer than a day,And o'er thy head did beat its wings for fame,And in thy sight its fading plumes display;The watery bow burned in the evening flame,But the shower fell, the swift Sun went his way-And that is dead.-O, let me not believeThat anything of mine is fit to live!IV.Wordsworth informs us he was nineteen yearsConsidering and retouching Peter Bell;Watering his laurels with the killing tearsOf slow, dull care, so that their roots to HellMight pierce, and their wide branches blot the spheresOf Heaven, with dewy leaves and flowers; this wellMay be, for Heaven and Earth conspire to foilThe over-busy gardener's blundering toil.V.My Witch indeed is not so sweet a creatureAs Ruth or Lucy, whom his graceful praiseClothes for our grandsons-but she matches Peter,Though he took nineteen years, and she three daysIn dressing. Light the vest of flowing metreShe wears; he, proud as dandy with his stays,Has hung upon his wiry limbs a dressLike King Lear's 'looped and windowed raggedness.'VI.If you strip Peter, you will see a fellowScorched by Hell's hyperequatorial climateInto a kind of a sulphureous yellow:A lean mark, hardly fit to fling a rhyme at;In shape a Scaramouch, in hue Othello.If you unveil my Witch, no priest nor primateCan shrive you of that sin, -- if sin there beIn love, when it becomes idolatry.                                             "
The Tower Of Famine,"                        Amid the desolation of a city,Which was the cradle, and is now the graveOf an extinguished people,—so that PityWeeps o’er the shipwrecks of Oblivion’s wave,There stands the Tower of Famine. It is builtUpon some prison-homes, whose dwellers raveFor bread, and gold, and blood: Pain, linked to Guilt,Agitates the light flame of their hours,Until its vital oil is spent or spilt.There stands the pile, a tower amid the towers And sacred domes; each marble-ribbed roof,The brazen-gated temples, and the bowersOf solitary wealth,--the tempest-proofPavilions of the dark Italian air,--Are by its presence dimmed--they stand aloof, And are withdrawn—so that the world is bare;As if a spectre wrapped in shapeless terrorAmid a company of ladies fairShould glide and glow, till it became a mirrorOf all their beauty, and their hair and hue,The life of their sweet eyes, with all its error,Should be absorbed, till they to marble grew.                                             "
The Zucca,"                        I.Summer was dead and Autumn was expiring,And infant Winter laughed upon the landAll cloudlessly and cold;--when I, desiringMore in this world than any understand,Wept o’er the beauty, which, like sea retiring, Had left the earth bare as the wave-worn sandOf my lorn heart, and o’er the grass and flowersPale for the falsehood of the flattering Hours.II.Summer was dead, but I yet lived to weepThe instability of all but weeping; And on the Earth lulled in her winter sleepI woke, and envied her as she was sleeping.Too happy Earth! over thy face shall creepThe wakening vernal airs, until thou, leapingFrom unremembered dreams, shalt ... see No death divide thy immortality.III.I loved--oh, no, I mean not one of ye,Or any earthly one, though ye are dearAs human heart to human heart may be;--I loved, I know not what--but this low sphereAnd all that it contains, contains not thee,Thou, whom, seen nowhere, I feel everywhere.From Heaven and Earth, and all that in them are,Veiled art thou, like a ... star.IV.By Heaven and Earth, from all whose shapes thou flowest, Neither to be contained, delayed, nor hidden;Making divine the loftiest and the lowest,When for a moment thou art not forbiddenTo live within the life which thou bestowest;And leaving noblest things vacant and chidden, Cold as a corpse after the spirit’s flightBlank as the sun after the birth of night.V.In winds, and trees, and streams, and all things common,In music and the sweet unconscious toneOf animals, and voices which are human, Meant to express some feelings of their own;In the soft motions and rare smile of woman,In flowers and leaves, and in the grass fresh-shown,Or dying in the autumn, I the mostAdore thee present or lament thee lost. VI.And thus I went lamenting, when I sawA plant upon the river’s margin lieLike one who loved beyond his nature’s law,And in despair had cast him down to die;Its leaves, which had outlived the frost, the thaw Had blighted; like a heart which hatred’s eyeCan blast not, but which pity kills; the dewLay on its spotted leaves like tears too true.VII.The Heavens had wept upon it, but the EarthHad crushed it on her maternal breast...VIII.I bore it to my chamber, and I plantedIt in a vase full of the lightest mould;The winter beams which out of Heaven slantedFell through the window-panes, disrobed of cold,Upon its leaves and flowers; the stars which panted In evening for the Day, whose car has rolledOver the horizon’s wave, with looks of lightSmiled on it from the threshold of the night.IX.The mitigated influences of airAnd light revived the plant, and from it grew Strong leaves and tendrils, and its flowers fair,Full as a cup with the vine’s burning dew,O’erflowed with golden colours; an atmosphereOf vital warmth enfolded it anew,And every impulse sent to every partThe unbeheld pulsations of its heart.X.Well might the plant grow beautiful and strong,Even if the air and sun had smiled not on it;For one wept o’er it all the winter longTears pure as Heaven’s rain, which fell upon it Hour after hour; for sounds of softest songMixed with the stringed melodies that won itTo leave the gentle lips on which it slept,Had loosed the heart of him who sat and wept.XI.Had loosed his heart, and shook the leaves and flowers 75On which he wept, the while the savage stormWaked by the darkest of December’s hoursWas raving round the chamber hushed and warm;The birds were shivering in their leafless bowers,The fish were frozen in the pools, the form Of every summer plant was deadWhilst this....                                             "
The Rude Wind Is Singing,                        The rude wind is singingThe dirge of the music dead;The cold worms are clingingWhere kisses were lately fed.                                             
The Viewless And Invisible Consequence,"                        The viewless and invisible ConsequenceWatches thy goings-out, and comings-in,And...hovers o'er thy guilty sleep,Unveiling every new-born deed, and thoughtsMore ghastly than those deeds--                                             "
To Mary Who Died In This Opinion,"                        I.Maiden, quench the glare of sorrowStruggling in thine haggard eye:Firmness dare to borrowFrom the wreck of destiny;For the ray morn’s bloom revealingCan never boast so bright an hueAs that which mocks concealing,And sheds its loveliest light on you.II.Yet is the tie departedWhich bound thy lovely soul to bliss? Has it left thee broken-heartedIn a world so cold as this?Yet, though, fainting fair one,Sorrow’s self thy cup has given,Dream thou’lt meet thy dear one,Never more to part, in Heaven. III.Existence would I barterFor a dream so dear as thine,And smile to die a martyrOn affection's bloodless shrine.Nor would I change for pleasureThat withered hand and ashy cheek,If my heart enshrined a treasureSuch as forces thine to break.                                             "
The Spectral Horseman,"                        What was the shriek that struck Fancy's earAs it sate on the ruins of time that is past?Hark! it floats on the fitful blast of the wind,And breathes to the pale moon a funeral sigh.It is the Benshie's moan on the storm,Or a shivering fiend that thirsting for sin,Seeks murder and guilt when virtue sleeps,Winged with the power of some ruthless king,And sweeps o'er the breast of the prostrate plain.It was not a fiend from the regions of HellThat poured its low moan on the stillness of night:It was not a ghost of the guilty dead,Nor a yelling vampire reeking with gore;But aye at the close of seven years' end,That voice is mixed with the swell of the storm,And aye at the close of seven years' end,A shapeless shadow that sleeps on the hillAwakens and floats on the mist of the heath.It is not the shade of a murdered man,Who has rushed uncalled to the throne of his God,And howls in the pause of the eddying storm.This voice is low, cold, hollow, and chill,'Tis not heard by the ear, but is felt in the soul.'Tis more frightful far than the death-daemon's scream,Or the laughter of fiends when they howl o’er the corpse Of a man who has sold his soul to Hell.It tells the approach of a mystic form,A white courser bears the shadowy sprite;More thin they are than the mists of the mountain,When the clear moonlight sleeps on the waveless lake. More pale HIS cheek than the snows of Nithona,When winter rides on the northern blast,And howls in the midst of the leafless wood.Yet when the fierce swell of the tempest is raving,And the whirlwinds howl in the caves of Inisfallen,Still secure mid the wildest war of the sky,The phantom courser scours the waste,And his rider howls in the thunder's roar.O'er him the fierce bolts of avenging HeavenPause, as in fear, to strike his head. The meteors of midnight recoil from his figure,Yet the 'wildered peasant, that oft passes by,With wonder beholds the blue flash through his form:And his voice, though faint as the sighs of the dead,The startled passenger shudders to hear, More distinct than the thunder's wildest roar.Then does the dragon, who, chained in the cavernsTo eternity, curses the champion of Erin,Moan and yell loud at the lone hour of midnight,And twine his vast wreaths round the forms of the daemons;Then in agony roll his death-swimming eyeballs,Though 'wildered by death, yet never to die!Then he shakes from his skeleton folds the nightmares,Who, shrieking in agony, seek the couchOf some fevered wretch who courts sleep in vain;Then the tombless ghosts of the guilty deadIn horror pause on the fitful gale.They float on the swell of the eddying tempest,And scared seek the caves of gigantic...Where their thin forms pour unearthly sounds On the blast that sweets the breast of the lake,And mingles its swell with the moonlight air.                                             "
The Pine Forest Of The Cascine Near Pisa,"                        Dearest, best and brightest,Come away,To the woods and to the fields!Dearer than this fairest dayWhich, like thee to those in sorrow,Comes to bid a sweet good-morrowTo the rough Year just awakeIn its cradle in the brake.The eldest of the Hours of Spring,Into the Winter wandering,Looks upon the leafless wood,And the banks all bare and rude;Found, it seems, this halcyon MornIn February’s bosom born,Bending from Heaven, in azure mirth,Kissed the cold forehead of the Earth,And smiled upon the silent sea,And bade the frozen streams be free;And waked to music all the fountains,And breathed upon the rigid mountains, And made the wintry world appearLike one on whom thou smilest, Dear.Radiant Sister of the Day,Awake! arise! and come away!To the wild woods and the plains, To the pools where winter rainsImage all the roof of leaves,Where the pine its garland weavesSapless, gray, and ivy dunRound stems that never kiss the sun--To the sandhills of the sea,Where the earliest violets be.Now the last day of many days,All beautiful and bright as thou,The loveliest and the last, is dead,Rise, Memory, and write its praise!And do thy wonted work and traceThe epitaph of glory fled;For now the Earth has changed its face,A frown is on the Heaven’s brow. We wandered to the Pine ForestThat skirts the Ocean's foam,The lightest wind was in its nest,The tempest in its home.The whispering waves were half asleep,The clouds were gone to play,And on the woods, and on the deepThe smile of Heaven lay.It seemed as if the day were oneSent from beyond the skies,Which shed to earth above the sunA light of Paradise.We paused amid the pines that stood,The giants of the waste,Tortured by storms to shapes as rude With stems like serpents interlaced.How calm it was--the silence thereBy such a chain was bound,That even the busy woodpeckerMade stiller by her sound The inviolable quietness;The breath of peace we drewWith its soft motion made not lessThe calm that round us grew.It seemed that from the remotest seat Of the white mountain's wasteTo the bright flower beneath our feet,A magic circle traced;--A spirit interfused around,A thinking, silent life; To momentary peace it boundOur mortal nature’s strife;--And still, it seemed, the centre ofThe magic circle there,Was one whose being filled with loveThe breathless atmosphere.Were not the crocuses that grewUnder that ilex-treeAs beautiful in scent and hueAs ever fed the bee?We stood beneath the pools that lieUnder the forest bough,And each seemed like a skyGulfed in a world below;A purple firmament of light Which in the dark earth lay,More boundless than the depth of night,And clearer than the day—In which the massy forests grewAs in the upper air,More perfect both in shape and hueThan any waving there.Like one beloved the scene had lentTo the dark water's breastIts every leaf and lineamentWith that clear truth expressed;There lay far glades and neighbouring lawn,And through the dark green crowdThe white sun twinkling like the dawnUnder a speckled cloud.Sweet views, which in our world aboveCan never well be seen,Were imaged by the water's loveOf that fair forest green.And all was interfused beneath With an Elysian air,An atmosphere without a breath,A silence sleeping there.Until a wandering wind crept by,Like an unwelcome thought, Which from my mind's too faithful eyeBlots thy bright image out.For thou art good and dear and kind,The forest ever green,But less of peace in S---'s mind,Than calm in waters, seen.                                             "
To Emilia Viviani,"                        I.Madonna, wherefore hast thou sent to meSweet-basil and mignonette?Embleming love and health, which never yetIn the same wreath might be.Alas, and they are wet! Is it with thy kisses or thy tears?For never rain or dewSuch fragrance drewFrom plant or flower—the very doubt endearsMy sadness ever new, The sighs I breathe, the tears I shed for thee.II.Send the stars light, but send not love to me,In whom love ever madeHealth like a heap of embers soon to fade--                                             "
To Mary ----,"                        O Mary dear, that you were hereWith your brown eyes bright and clear.And your sweet voice, like a birdSinging love to its lone mateIn the ivy bower disconsolate;Voice the sweetest ever heard!And your brow more...Than the skyOf this azure Italy.Mary dear, come to me soon,I am not well whilst thou art far;As sunset to the sphered moon,As twilight to the western star,Thou, beloved, art to me.O Mary dear, that you were here;The Castle echo whispers 'Here!'                                             "
To Constantia,"                        I.The rose that drinks the fountain dewIn the pleasant air of noon,Grows pale and blue with altered hue—In the gaze of the nightly moon;For the planet of frost, so cold and brightMakes it wan with her borrowed light.II.Such is my heart—roses are fair,And that at best a withered blossom;But thy false care did idly wearIts withered leaves in a faithless bosom;And fed with love, like air and dew,Its growth----                                             "
To Italy,"                        As the sunrise to the night,As the north wind to the clouds,As the earthquake's fiery flight,Ruining mountain solitudes,Everlasting Italy, Be those hopes and fears on thee.                                             "
To Mary Shelley,"                        THE world is dreary,And I'm wearyOf wandering on without thee, Mary;A joy was erewhileIn thy voice and thy smile,And 'tis gone, when I should be gone too, Mary.                                             "
"To-- I Fear Thy Kisses, Gentle Maiden","                        I.I fear thy kisses, gentle maiden,Thou needest not fear mine;My spirit is too deeply ladenEver to burthen thine.II.I fear thy mien, thy tones, thy motion,Thou needest not fear mine;Innocent is the heart’s devotionWith which I worship thine.                                             "
To Ireland,"                        I.Bear witness, Erin! when thine injured isleSees summer on its verdant pastures smile,Its cornfields waving in the winds that sweepThe billowy surface of thy circling deep!Thou tree whose shadow o'er the Atlantic gave Peace, wealth and beauty, to its friendly wave, its blossoms fade,And blighted are the leaves that cast its shade;Whilst the cold hand gathers its scanty fruit,Whose chillness struck a canker to its root. II.I could standUpon thy shores, O Erin, and could countThe billows that, in their unceasing swell,Dash on thy beach, and every wave might seemAn instrument in Time the giant's grasp,To burst the barriers of Eternity.Proceed, thou giant, conquering and to conquer;March on thy lonely way! The nations fallBeneath thy noiseless footstep; pyramidsThat for millenniums have defied the blast, And laughed at lightnings, thou dost crush to nought.Yon monarch, in his solitary pomp,Is but the fungus of a winter dayThat thy light footstep presses into dust.Thou art a conqueror, Time; all things give way Before thee but the 'fixed and virtuous will';The sacred sympathy of soul which wasWhen thou wert not, which shall be when thou perishest....                                             "
To Mary Wollstonecraft Godwin,"                        I.Mine eyes were dim with tears unshed;Yes, I was firm -- thus wert not thou;--My baffled looks did fear yet dreadTo meet thy looks -- I could not knowHow anxiously they sought to shineWith soothing pity upon mine.II.To sit and curb the soul's mute rageWhich preys upon itself alone;To curse the life which is the cageOf fettered grief that dares not groan,Hiding from many a careless eyeThe scornèd load of agony.III.Whilst thou alone, then not regarded,The thou alone should be,To spend years thus, and be rewarded,As thou, sweet love, requited meWhen none were near -- Oh! I did wakeFrom torture for that moment's sake.IV.Upon my heart thy accents sweetOf peace and pity fell like dewOn flowers half dead;-- thy lips did meetMine tremblingly; thy dark eyes threwTheir soft persuasion on my brain,Charming away its dream of pain.V.We are not happy, sweet! our stateIs strange and full of doubt and fear;More need of words that ills abate;--Reserve or censure come not nearOur sacred friendship, lest there beNo solace left for thee and me.VI.Gentle and good and mild thou art,Nor can I live if thou appearAught but thyself, or turn thine heartAway from me, or stoop to wearThe mask of scorn, although it beTo hide the love thou feel'st for me.                                             "
